htid	title_id	title	author	year	first_week	debut_rank	best_rank
mdp.39015025280705	5677	THE LIVING	Annie Dillard	1992	1992-05-17	8	9
uc1.32106011933675	5677	THE LIVING	Annie Dillard	1992	1992-05-17	8	9
mdp.39015008630983	5678	THE LIVING REED	Pearl S. Buck	1963	1963-10-13	3	4
uc1.32106012197650	5678	THE LIVING REED	Pearl S. Buck	1963	1963-10-13	3	4
mdp.39015005660249	5678	THE LIVING REED	Pearl S. Buck	1963	1963-10-13	3	4
pst.000022045898	5678	THE LIVING REED	Pearl S. Buck	1963	1963-10-13	3	4
mdp.39015002212481	5680	THE LOCKWOOD CONCERN	John O'Hara	1965	1965-12-19	10	4
mdp.39015000551104	5680	THE LOCKWOOD CONCERN	John O'Hara	1965	1965-12-19	10	4
uc1.b4089982	5680	THE LOCKWOOD CONCERN	John O'Hara	1965	1965-12-19	10	4
uc1.$b244226	5682	THE LONELY	Paul Gallico	1949	1949-10-09	6	12
mdp.39015009111066	5684	THE LONELY SILVER RAIN	John D. MacDonald	1985	1985-04-07	15	3
uc1.b4384858	5685	THE LONESOME GODS	Louis L'Amour	1983	1983-04-03	8	2
mdp.39015058012215	5687	THE LONG DARK TEA-TIME OF THE SOUL	Douglas Adams	1989	1989-03-12	2	6
uc1.32106016476571	5687	THE LONG DARK TEA-TIME OF THE SOUL	Douglas Adams	1989	1989-03-12	2	6
mdp.39015040365788	5692	THE LONG ROAD HOME	Danielle Steel	1998	1998-04-19	9	1
mdp.39015006566007	5693	THE LONG SHIPS	Frans G. Bengtsson	1954	1954-10-03	12	10
mdp.39015013762748	5693	THE LONG SHIPS	Frans G. Bengtsson	1954	1954-10-03	12	10
mdp.39015048922226	5696	THE LOOKING GLASS	Richard Paul Evans	1999	1999-10-17	14	9
mdp.39015045679712	5698	THE LOOP	Nicholas Evans	1998	1998-09-27	9	2
uc1.32106018071107	5699	THE LORD WON'T MIND	Gordon Merrick	1970	1970-05-31	11	7
uc1.$b105946	5700	THE LORENZO BUNCH	Booth Tarkington	1936	1936-01-27	7	6
mdp.39015031304564	5700	THE LORENZO BUNCH	Booth Tarkington	1936	1936-01-27	7	6
uc1.b3569291	5700	THE LORENZO BUNCH	Booth Tarkington	1936	1936-01-27	7	6
uc1.b4094212	5702	THE LOST CITY	John Gunther	1964	1964-11-29	9	7
uc1.b3688205	5702	THE LOST CITY	John Gunther	1964	1964-11-29	9	7
mdp.39015005648566	5710	THE LOST WEEKEND	Charles Jackson	1944	1944-02-27	3	2
pst.000006559816	5710	THE LOST WEEKEND	Charles Jackson	1944	1944-02-27	3	2
mdp.39015004344795	5710	THE LOST WEEKEND	Charles Jackson	1944	1944-02-27	3	2
mdp.39015066047674	5711	THE LOST WORLD	Michael Crichton	1995	1995-10-08	10	1
mdp.39015053522317	5715	THE LOTTERY WINNER	Mary Higgins Clark	1994	1994-11-13	10	5
uc1.$b106179	5716	THE LOTUS AND THE WIND	John Masters	1953	1953-01-25	16	16
mdp.39015030706876	5716	THE LOTUS AND THE WIND	John Masters	1953	1953-01-25	16	16
uc1.b3688178	5717	THE LOTUS EATERS	Gerald Green	1959	1959-10-04	13	9
